Name,Price,Discount,Average Rating,Rating Count,Review Count,Memory Details,Screen Dimension,Lens Detail,Battery Capacity,Processor,Warranty,Color,Product Link
"Infinix SMART 7 (Night Black, 64 GB)  (4 GB RAM)","₹7,299",27% off,4.3,"30,258 Ratings "," 1,573 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,13MP + AI Lens | 5MP Front Camera,6000 mAh Battery,,1 Year on Handset and 6 Months on Accessories,Night Black,https://www.flipkart.com/infinix-smart-7-night-black-64-gb/p/itm7b72b66485a59?pid=MOBGMTW2T7W2UPB9&lid=LSTMOBGMTW2T7W2UPB99HTRS1&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_1&otracker=browse&fm=organic&iid=ff071216-67e4-4097-88e9-f0f698d3ea76.MOBGMTW2T7W2UPB9.SEARCH&ppt=browse&ppn=browse&ssid=5d0aqo3pn40000001686306362225
"Infinix SMART 7 (Azure Blue, 64 GB)  (4 GB RAM)","₹7,299",27% off,4.3,"30,258 Ratings "," 1,573 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,13MP + AI Lens | 5MP Front Camera,6000 mAh Battery,,1 Year on Handset and 6 Months on Accessories,Azure Blue,https://www.flipkart.com/infinix-smart-7-azure-blue-64-gb/p/itm7b72b66485a59?pid=MOBGMTW2WYG2A2FM&lid=LSTMOBGMTW2WYG2A2FMAZGXKU&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_2&otracker=browse&fm=organic&iid=ff071216-67e4-4097-88e9-f0f698d3ea76.MOBGMTW2WYG2A2FM.SEARCH&ppt=browse&ppn=browse&ssid=5d0aqo3pn40000001686306362225
"Infinix SMART 7 (Emerald Green, 64 GB)  (4 GB RAM)","₹7,299",27% off,4.3,"30,258 Ratings "," 1,573 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,13MP + AI Lens | 5MP Front Camera,6000 mAh Battery,,1 Year on Handset and 6 Months on Accessories,Emerald Green,https://www.flipkart.com/infinix-smart-7-emerald-green-64-gb/p/itm7b72b66485a59?pid=MOBGMTW2HFCMQY35&lid=LSTMOBGMTW2HFCMQY35R7FJQZ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_3&otracker=browse&fm=organic&iid=ff071216-67e4-4097-88e9-f0f698d3ea76.MOBGMTW2HFCMQY35.SEARCH&ppt=browse&ppn=browse&ssid=5d0aqo3pn40000001686306362225
"realme 11 Pro 5G (Sunrise Beige, 128 GB)  (8 GB RAM)","₹23,999",7% off,5,,,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,100MP + 2MP | 16MP Front Camera,5000 mAh Battery,,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,Sunrise Beige,https://www.flipkart.com/realme-11-pro-5g-sunrise-beige-128-gb/p/itm3f783627a36ec?pid=MOBGPUNGXUZQKTTB&lid=LSTMOBGPUNGXUZQKTTBYNPFLU&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_4&otracker=browse&fm=organic&iid=en_zo3OeGXwZGw25nBHD1ZOY1Vu9HcwA12KhUkcRZvcahE4xSQrLe%2F9Rg5qqOPRmj4lkk1wuw7kUc0bTpLzKHb7Zg%3D%3D&ppt=browse&ppn=browse&ssid=5d0aqo3pn40000001686306362225
"SAMSUNG Galaxy F04 (Opal Green, 64 GB)  (4 GB RAM)","₹7,299",36% off,4.2,"22,724 Ratings "," 1,167 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD Display,13MP + 2MP | 5MP Front Camera,5000 mAh Lithium-Ion Battery,,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box AccessoriesKnow More,Opal Green,https://www.flipkart.com/samsung-galaxy-f04-opal-green-64-gb/p/itmd0c05f8b03876?pid=MOBGKY2V7QZ2QVFS&lid=LSTMOBGKY2V7QZ2QVFSGOGYVU&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_5&otracker=browse&fm=organic&iid=ff071216-67e4-4097-88e9-f0f698d3ea76.MOBGKY2V7QZ2QVFS.SEARCH&ppt=browse&ppn=browse&ssid=5d0aqo3pn40000001686306362225
"POCO C51 (Royal Blue, 64 GB)  (4 GB RAM)","₹6,999",30% off,4.3,"12,486 Ratings ", 427 Reviews,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.56 cm (6.52 inch) HD+ Display,8MP Dual Rear Camera | 5MP Front Camera,5000 mAh Battery,,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,Royal Blue,https://www.flipkart.com/poco-c51-royal-blue-64-gb/p/itm1e4e8373537a7?pid=MOBGZCQFCWNDK89P&lid=LSTMOBGZCQFCWNDK89PTMGT86&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_6&otracker=browse&fm=organic&iid=ff071216-67e4-4097-88e9-f0f698d3ea76.MOBGZCQFCWNDK89P.SEARCH&ppt=browse&ppn=browse&ssid=5d0aqo3pn40000001686306362225
"Infinix Smart 7 HD (Green Apple, 64 GB)  (2 GB RAM)","₹6,199",22% off,4.4,"5,150 Ratings ", 270 Reviews,2 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) HD+ Display,8MP + AI Lens | 5MP Front Camera,5000 mAh Battery,,1 Year on Handset and 6 Months on Accessories,Green Apple,https://www.flipkart.com/infinix-smart-7-hd-green-apple-64-gb/p/itmae6d492c1083e?pid=MOBGZNM9FZAVPXAA&lid=LSTMOBGZNM9FZAVPXAATCK5H1&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_7&otracker=browse&fm=organic&iid=ff071216-67e4-4097-88e9-f0f698d3ea76.MOBGZNM9FZAVPXAA.SEARCH&ppt=browse&ppn=browse&ssid=5d0aqo3pn40000001686306362225
"POCO C51 (Power Black, 64 GB)  (4 GB RAM)","₹6,999",30% off,4.3,"12,486 Ratings ", 427 Reviews,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.56 cm (6.52 inch) HD+ Display,8MP Dual Rear Camera | 5MP Front Camera,5000 mAh Battery,,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,Power Black,https://www.flipkart.com/poco-c51-power-black-64-gb/p/itm62bcd2634619e?pid=MOBGZCQFWM5HZHXX&lid=LSTMOBGZCQFWM5HZHXXVV2MKC&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_8&otracker=browse&fm=organic&iid=ff071216-67e4-4097-88e9-f0f698d3ea76.MOBGZCQFWM5HZHXX.SEARCH&ppt=browse&ppn=browse&ssid=5d0aqo3pn40000001686306362225
"SAMSUNG Galaxy F04 (Jade Purple, 64 GB)  (4 GB RAM)","₹7,299",36% off,4.2,"22,724 Ratings "," 1,167 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD Display,13MP + 2MP | 5MP Front Camera,5000 mAh Lithium-Ion Battery,,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box AccessoriesKnow More,Jade Purple,https://www.flipkart.com/samsung-galaxy-f04-jade-purple-64-gb/p/itm0934dc56a1df7?pid=MOBGKY2VTP3XETBR&lid=LSTMOBGKY2VTP3XETBRJKXEIM&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_9&otracker=browse&fm=organic&iid=ff071216-67e4-4097-88e9-f0f698d3ea76.MOBGKY2VTP3XETBR.SEARCH&ppt=browse&ppn=browse&ssid=5d0aqo3pn40000001686306362225
"vivo T2x 5G (Marine Blue, 128 GB)  (8 GB RAM)","₹15,999",23% off,4.4,"8,042 Ratings ", 425 Reviews,8 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,,1 Year of Device & 6 Months for Inbox Accessories,Marine Blue,https://www.flipkart.com/vivo-t2x-5g-marine-blue-128-gb/p/itmcf0e8d553142a?pid=MOBGZBFUZHRYUKVR&lid=LSTMOBGZBFUZHRYUKVRIAHQ7J&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_10&otracker=browse&fm=organic&iid=ff071216-67e4-4097-88e9-f0f698d3ea76.MOBGZBFUZHRYUKVR.SEARCH&ppt=browse&ppn=browse&ssid=5d0aqo3pn40000001686306362225
